Name,Yards,Attempts,Completions,Touchdowns,Interceptions 
Tom Brady,5316,719,485,43,12
Justin Herbert,5014,672,443,38,15
Matthew Stafford,4886,601,404,41,17
Patrick Mahomes,4839,658,436,37,13
Derek Carr,4804,626,428,23,14
random neg,2000,678,200,50,200
